,id,Concept,has_background
0,0,Bab al-Nasr (Cairo),True
1,1,Mortuary Temple of Seti I in Qurna,True
2,2,Umm Kulthum Museum,True
3,3,Wadi el-Raiyan,True
4,4,Al-Shate'e Mosque,False
5,5,Bayt Al-Suhaymi,True
6,6,Na'ama Bay,True
7,7,Elephantine,True
8,8,Siwa,True
9,9,Cairo Citadel,True
10,10,Mastabat al-Fir'aun,True
11,11,Great Hypostyle Hall of Karnak,True
12,12,Wadi Degla,True
13,13,Abu Haggag Mosque,True
14,14,Gayer-Anderson Museum,True
15,15,Bab Zuwayla,True
16,16,Bagawat,False
17,17,Temple of Seti I in Abydos,True
18,18,Sehel Island,True
19,19,Karnak precinct of Amun-Ra,True
20,20,Pyramid of Djoser,True
21,21,Pyramid of Djedefra,True
22,22,KV17,True
23,23,Al-Ashraf Mosque,True
24,24,Temple of Kom Ombo,True
25,25,City of the dead (Cairo),True
26,26,Egyptian Museum (Cairo),True
27,27,Saint George Church in Coptic Cairo,True
28,28,Red Pyramid,True
29,29,El Ferdan Railway Bridge,True
30,30,Qasr Qarun,True
31,31,Kitchener's Island,False
32,32,Sulayman Agha al-Silahdar Mosque,True
33,33,Temple of Hibis,True
34,34,Valley of the Golden Mummies,True
35,35,Bibliotheca Alexandrina,True
36,36,Unfinished obelisk in Aswan,True
37,37,Sabil of Abd al-Rahman Katkhuda,True
38,38,Agiba beach,True
39,39,Gebel el-Silsila,True
40,40,Muizz Street,True
41,41,Monastery of Saint Bishoy,True
42,42,Osireion,True
43,43,Pyramid of Khafra,True
44,44,Soma Bay,True
45,45,Madrasah of Sarghatmish,True
46,46,Corniche (Alexandria),True
47,47,"St. Catherine's Cathedral, Alexandria",True
48,48,Giza pyramid complex,True
49,49,Monastery of Saint Anthony,True
50,50,Alexandria Opera House,True
51,51,Sphinx of Memphis,True
52,52,Grand Egyptian Museum,True
53,53,Kom el-Shoqafa,True
54,54,Qaed Ibrahim Mosque,True
55,55,Khayrbak Mosque,True
56,56,Ramesseum,True
57,57,Al-Qurn,False
58,58,"Garden City, Cairo",True
59,59,Tomb of Nefertari,True
60,60,Monastery of Saint Simeon in Aswan,False
61,61,Temple of Isis in Philae,True
62,62,Blue Hole (Red Sea),True
63,63,Baron Empain Palace,True
64,64,"Saint Catherine's Monastery, Mount Sinai",True
65,65,Faiyum Zoo,True
66,66,Aguilkia Island,True
67,67,Hanging Church (Cairo),True
68,68,Qubbet el-Hawa,True
69,69,Ptolemaic Temple of Hathor in Deir el-Medina,True
70,70,Tomb of Nakht TT52,True
71,71,Abdeen Palace,True
72,72,Egyptian National Military Museum,True
73,73,Madrasah of Al-Nasir Muhammad,True
74,74,Al-Manyal Palace Museum,False
75,75,Monastery of Saint Samuel the Confessor,True
76,76,Meidum,True
77,77,Abu el-Abbas el-Mursi Mosque,True
78,78,Theban Necropolis,True
79,79,Citadel of Qaitbay,True
80,80,Nabq Protected Area,True
81,81,Mosque of al-Mahmudiya,True
82,82,Al-Jawhara Palace museum,True
83,83,Aswan High Dam,True
84,84,Mortuary Temple of Hatshepsut,True
85,85,Deir el-Bahari,True
86,86,El Alamein Military Museum,True
87,87,"Pompey's Pillar, Alexandria",True
88,88,Esna Temple,True
89,89,Pyramid of Amenemhat III in Hawara,True
90,90,Great Sphinx of Giza,True
91,91,Rahmanyia island,True
92,92,Al-Azhar Park (Cairo),True
93,93,Deir el-Muharraq,True
94,94,"Shalalat Garden, Alexandria",True
95,95,Eliyahu Hanavi Synagogue (Alexandria),True
96,96,Orman Garden,True
97,97,Fatimid Cemetery in Aswan,True
98,98,Famine stele,True
99,99,Mokattam,True
100,100,Aquarium Grotto Garden,True
101,101,Gezira,True
102,102,Mausoleum of Aga Khan,True
103,103,Great Temple of the Aten,True
104,104,Qasr al-Nil Bridge,True
105,105,Temple of Khonsu in Karnak,True
106,106,Beni Hassan,True
107,107,Kiosk of Trajan in Philae,False
108,108,Khan el-Khalili,True
109,109,Luxor Temple,True
110,110,Suez Canal Bridge,True
111,111,Pyramid of Senusret II,True
112,112,Pyramid of Neferirkare,True
113,113,Pyramid of Qakare Ibi,True
